epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9542,1.37418,2.719,3.47524,0.00932,2.56373,0.64545,0.62482,0.64699,0.51424,0.6516,0.62626,0.65119,0.54272,0.80248,1.19469,2.62399,0.00691,0,0.000661111,0.000661111,0.000661111
2,60.0693,1.43902,2.42396,2.10595,0.00987,1.31485,0.73271,0.76343,0.806,0.61363,0.73409,0.76487,0.80454,0.65488,0.91223,1.10538,1.0856,0.00853,0,0.00131463,0.00131463,0.00131463
3,88.4999,1.51413,2.45627,1.59444,0.01051,1.26396,0.70107,0.75036,0.74638,0.51494,0.70511,0.75469,0.75253,0.60286,1.12388,1.05863,0.97045,0.00998,0,0.00195495,0.00195495,0.00195495
4,117.107,1.5738,2.50836,1.43858,0.01111,1.24974,0.7089,0.75905,0.75758,0.55704,0.71295,0.76338,0.76094,0.60029,0.94452,1.13958,1.12131,0.00875,0,0.0019406,0.0019406,0.0019406
5,145.252,1.52126,2.4323,1.28107,0.01079,1.18007,0.75519,0.83117,0.84911,0.6407,0.75803,0.83261,0.85163,0.69097,0.95812,1.04942,0.72598,0.00841,0,0.0019208,0.0019208,0.0019208
6,173.181,1.53485,2.3947,1.18995,0.01057,1.16814,0.80983,0.76812,0.83565,0.66019,0.81135,0.76957,0.8408,0.71372,0.85276,0.97165,0.71537,0.00759,0,0.001901,0.001901,0.001901
7,201.365,1.49072,2.33105,1.15792,0.01043,1.10018,0.81628,0.80143,0.83956,0.64622,0.81775,0.80287,0.84167,0.70619,0.94349,1.00871,0.6838,0.00854,0,0.0018812,0.0018812,0.0018812
8,229.218,1.47737,2.27942,1.10203,0.0102,1.0439,0.77753,0.84848,0.84658,0.59949,0.77489,0.8456,0.84543,0.6928,1.00887,1.07935,0.83394,0.00847,0,0.0018614,0.0018614,0.0018614
9,257.157,1.48812,2.30867,1.1156,0.01016,1.06374,0.73823,0.84645,0.8469,0.67447,0.73949,0.84789,0.84863,0.69138,0.79809,0.96186,0.75524,0.00717,0,0.0018416,0.0018416,0.0018416
10,284.788,1.45183,2.23296,1.08259,0.01014,1.03811,0.82406,0.85158,0.87508,0.68871,0.82495,0.85003,0.87493,0.73325,0.87577,0.96049,0.60237,0.00746,0,0.0018218,0.0018218,0.0018218
11,312.771,1.41968,2.14947,1.02858,0.00983,0.95572,0.7977,0.8658,0.87464,0.67034,0.79637,0.86436,0.87319,0.76318,0.91783,0.92727,0.61075,0.00819,0,0.001802,0.001802,0.001802
12,341.156,1.43469,2.20088,1.02913,0.01002,0.98683,0.83684,0.85426,0.86984,0.66492,0.83684,0.85426,0.87116,0.71108,0.94934,0.93982,0.67372,0.00881,0,0.0017822,0.0017822,0.0017822
13,369.293,1.43044,2.17442,1.01796,0.00974,0.96579,0.76683,0.86843,0.86291,0.67528,0.76865,0.86869,0.86439,0.74155,0.86927,0.95788,0.662,0.00759,0,0.0017624,0.0017624,0.0017624
14,398.655,1.38815,2.13,1.04316,0.00948,1.00214,0.79615,0.83407,0.82583,0.67434,0.79415,0.84271,0.8301,0.67199,0.74173,0.94236,0.67427,0.00629,0,0.0017426,0.0017426,0.0017426
15,429.08,1.39896,2.12173,0.98244,0.00944,0.95341,0.82311,0.87302,0.88601,0.7363,0.82672,0.87446,0.88698,0.75991,0.70684,0.87891,0.56869,0.00652,0,0.0017228,0.0017228,0.0017228
16,458.482,1.3423,2.14058,0.96316,0.00905,0.96576,0.79827,0.89648,0.8883,0.74101,0.79955,0.89792,0.89149,0.75196,0.6787,0.94174,0.55506,0.00579,0,0.001703,0.001703,0.001703
17,487.968,1.38319,2.14958,0.98751,0.00922,0.94647,0.79154,0.8658,0.87269,0.72779,0.79022,0.86436,0.86996,0.74045,0.70429,0.97559,0.61744,0.00602,0,0.0016832,0.0016832,0.0016832
18,519.072,1.36459,2.10593,0.95751,0.00919,0.94782,0.81129,0.89466,0.8878,0.71262,0.81599,0.89899,0.89178,0.77911,0.79802,0.89119,0.59674,0.00701,0,0.0016634,0.0016634,0.0016634
19,550.816,1.38321,2.1181,0.94158,0.0091,0.95381,0.82385,0.85714,0.8783,0.73692,0.82321,0.85337,0.8795,0.75857,0.70978,0.92319,0.55564,0.00632,0,0.0016436,0.0016436,0.0016436
20,582.641,1.30954,2.03872,0.91625,0.00861,0.87642,0.81213,0.87329,0.88576,0.74027,0.8153,0.86625,0.88648,0.7785,0.7098,0.87931,0.55931,0.00595,0,0.0016238,0.0016238,0.0016238
21,613.582,1.31224,1.98922,0.91255,0.00886,0.88068,0.82889,0.88078,0.89673,0.74293,0.83161,0.88366,0.8971,0.76517,0.74306,0.86672,0.52549,0.00625,0,0.001604,0.001604,0.001604
22,643.043,1.32212,1.99939,0.88717,0.00873,0.84663,0.84272,0.85426,0.88448,0.72376,0.84699,0.85859,0.8886,0.74133,0.80208,0.80896,0.54576,0.0066,0,0.0015842,0.0015842,0.0015842
23,672.345,1.32473,2.02617,0.90957,0.00889,0.9193,0.79452,0.88023,0.87838,0.71862,0.79973,0.886,0.88195,0.71781,0.80477,0.91879,0.57759,0.00658,0,0.0015644,0.0015644,0.0015644
24,712.32,1.30472,1.99174,0.8981,0.00878,0.87318,0.78363,0.92501,0.89203,0.74592,0.78603,0.92641,0.89683,0.7735,0.7235,0.83975,0.55068,0.0065,0,0.0015446,0.0015446,0.0015446
25,751.468,1.30589,2.00774,0.87979,0.00863,0.92217,0.79285,0.90576,0.8811,0.75247,0.81817,0.87879,0.8844,0.76885,0.654,0.83823,0.52078,0.0057,0,0.0015248,0.0015248,0.0015248
26,779.518,1.30941,2.02512,0.87971,0.00866,0.91673,0.81043,0.90682,0.89558,0.76218,0.81872,0.89938,0.89999,0.7855,0.6512,0.80955,0.50296,0.00535,0,0.001505,0.001505,0.001505
27,807.592,1.29731,1.99616,0.85164,0.00857,0.83934,0.83386,0.87302,0.89281,0.75713,0.83661,0.8759,0.89718,0.76373,0.67246,0.80076,0.52681,0.00549,0,0.0014852,0.0014852,0.0014852
28,835.786,1.27332,1.9293,0.86158,0.00828,0.83954,0.82827,0.89086,0.89848,0.7656,0.83767,0.88456,0.90331,0.78657,0.65318,0.80371,0.48885,0.00544,0,0.0014654,0.0014654,0.0014654
29,864.096,1.29441,1.96229,0.87636,0.00872,0.86897,0.82789,0.8961,0.8971,0.75133,0.82886,0.89899,0.89742,0.78308,0.69566,0.85195,0.52596,0.00603,0,0.0014456,0.0014456,0.0014456
30,894.079,1.24687,1.8844,0.8195,0.00825,0.82341,0.85125,0.90009,0.90827,0.78456,0.85258,0.90043,0.90884,0.78316,0.63641,0.81679,0.45928,0.00514,0,0.0014258,0.0014258,0.0014258
31,923.805,1.27217,1.9394,0.838,0.00842,0.84896,0.83145,0.89033,0.9012,0.76552,0.84292,0.88278,0.90379,0.7809,0.6858,0.82652,0.49985,0.00595,0,0.001406,0.001406,0.001406
32,953.567,1.24977,1.91167,0.81184,0.00818,0.79261,0.82314,0.91342,0.89598,0.78015,0.82704,0.91775,0.89692,0.78635,0.59595,0.83251,0.47248,0.00483,0,0.0013862,0.0013862,0.0013862
33,983.844,1.26335,1.96071,0.84709,0.00823,0.83455,0.8281,0.9062,0.89339,0.78263,0.8281,0.9062,0.89369,0.78006,0.60087,0.87288,0.48347,0.00493,0,0.0013664,0.0013664,0.0013664
34,1013.95,1.23407,1.88772,0.84533,0.00804,0.84727,0.82194,0.89924,0.89987,0.78759,0.8259,0.90356,0.90378,0.79734,0.57742,0.80287,0.47832,0.0048,0,0.0013466,0.0013466,0.0013466
35,1044.74,1.22399,1.88378,0.82432,0.00811,0.79363,0.85843,0.90332,0.90933,0.79204,0.86254,0.90765,0.91375,0.77393,0.60803,0.82762,0.45611,0.00529,0,0.0013268,0.0013268,0.0013268
36,1074.8,1.22919,1.85194,0.81267,0.00817,0.82589,0.83011,0.91659,0.90871,0.79529,0.84571,0.90765,0.9148,0.79616,0.57412,0.79566,0.47033,0.00484,0,0.001307,0.001307,0.001307
37,1105.6,1.21071,1.85853,0.80424,0.0079,0.79215,0.83333,0.89465,0.90695,0.79718,0.83736,0.89898,0.91068,0.81587,0.56801,0.83459,0.46829,0.00477,0,0.0012872,0.0012872,0.0012872
38,1136.37,1.2415,1.88069,0.82544,0.00809,0.82291,0.81154,0.91198,0.9051,0.76628,0.81668,0.91775,0.91466,0.78467,0.66473,0.79812,0.50408,0.00544,0,0.0012674,0.0012674,0.0012674
39,1168.34,1.23218,1.88168,0.80189,0.00802,0.80777,0.82825,0.92063,0.90632,0.78569,0.83373,0.92929,0.91333,0.78319,0.60699,0.82747,0.46509,0.00502,0,0.0012476,0.0012476,0.0012476
40,1198.59,1.17934,1.81769,0.7596,0.00766,0.75697,0.82198,0.91281,0.89435,0.77463,0.82635,0.91486,0.89753,0.77406,0.61716,0.80399,0.47827,0.00523,0,0.0012278,0.0012278,0.0012278
41,1227.93,1.16463,1.78804,0.77652,0.00742,0.74337,0.81832,0.92063,0.89769,0.79868,0.82345,0.92641,0.90407,0.79852,0.5555,0.77465,0.45914,0.00452,0,0.001208,0.001208,0.001208
42,1255.7,1.18741,1.82246,0.77224,0.00757,0.72246,0.82929,0.89029,0.89142,0.77908,0.83333,0.89462,0.89558,0.79599,0.55571,0.8297,0.52063,0.00455,0,0.0011882,0.0011882,0.0011882
43,1283.34,1.17668,1.80406,0.75745,0.00731,0.71735,0.83093,0.89899,0.90612,0.80677,0.83493,0.90332,0.9118,0.80184,0.52483,0.7888,0.45342,0.00416,0,0.0011684,0.0011684,0.0011684
44,1310.96,1.16958,1.77653,0.74346,0.00735,0.74317,0.85288,0.89508,0.90537,0.79618,0.85563,0.89796,0.90877,0.79752,0.55104,0.78084,0.47371,0.00456,0,0.0011486,0.0011486,0.0011486
45,1338.91,1.17206,1.76077,0.71743,0.00752,0.72112,0.86207,0.89322,0.90913,0.80378,0.86585,0.89408,0.91176,0.81721,0.55198,0.7422,0.47019,0.00454,0,0.0011288,0.0011288,0.0011288
46,1366.62,1.15916,1.78712,0.71313,0.00756,0.7253,0.84324,0.88889,0.9011,0.79956,0.84461,0.89033,0.89922,0.7827,0.55397,0.78391,0.48914,0.00481,0,0.001109,0.001109,0.001109
47,1394.23,1.1557,1.7763,0.72525,0.00722,0.69784,0.84597,0.91139,0.90708,0.79144,0.84597,0.91139,0.90746,0.80111,0.57352,0.80182,0.47721,0.00456,0,0.0010892,0.0010892,0.0010892
48,1421.93,1.14446,1.7363,0.70651,0.00717,0.68327,0.85478,0.90882,0.90818,0.80368,0.86017,0.91427,0.91325,0.80855,0.55044,0.76957,0.47964,0.00444,0,0.0010694,0.0010694,0.0010694
49,1449.75,1.1367,1.69715,0.70517,0.00709,0.68937,0.83553,0.92496,0.9089,0.80915,0.83717,0.92496,0.90997,0.80031,0.52819,0.75415,0.47233,0.00425,0,0.0010496,0.0010496,0.0010496
50,1477.46,1.11493,1.71802,0.69283,0.00704,0.69931,0.86036,0.88905,0.90019,0.80352,0.86151,0.8887,0.905,0.80989,0.5301,0.77085,0.47093,0.00445,0,0.0010298,0.0010298,0.0010298
51,1505.5,1.12679,1.71587,0.7052,0.00712,0.69623,0.83205,0.91342,0.89924,0.79717,0.83507,0.91631,0.9039,0.79338,0.52804,0.75647,0.4598,0.00445,0,0.00101,0.00101,0.00101
52,1533.11,1.12063,1.70933,0.68026,0.0071,0.68297,0.82962,0.90909,0.90304,0.80217,0.83903,0.90255,0.9057,0.79779,0.53807,0.76389,0.47355,0.00449,0,0.0009902,0.0009902,0.0009902
53,1560.76,1.12428,1.70348,0.67675,0.00718,0.67541,0.8528,0.90288,0.90945,0.79869,0.85689,0.90721,0.91027,0.7872,0.58556,0.75695,0.44229,0.00446,0,0.0009704,0.0009704,0.0009704
54,1588.49,1.11914,1.69678,0.68979,0.00697,0.66458,0.83244,0.92785,0.90851,0.80716,0.83244,0.92785,0.91042,0.80345,0.53113,0.79193,0.44624,0.0044,0,0.0009506,0.0009506,0.0009506
55,1616.46,1.10791,1.6863,0.67119,0.00695,0.69252,0.83939,0.90497,0.90998,0.81121,0.8434,0.9093,0.91225,0.79817,0.52914,0.7396,0.46333,0.0042,0,0.0009308,0.0009308,0.0009308
56,1644.3,1.08346,1.64109,0.6581,0.00689,0.6378,0.84226,0.90043,0.90334,0.80204,0.84265,0.9062,0.90916,0.80994,0.55602,0.76335,0.46789,0.00458,0,0.000911,0.000911,0.000911
57,1671.86,1.09585,1.65715,0.65177,0.00689,0.63066,0.86629,0.89177,0.90178,0.81069,0.8719,0.89755,0.90547,0.80419,0.51791,0.8132,0.45123,0.00419,0,0.0008912,0.0008912,0.0008912
58,1700.1,1.09935,1.66136,0.65152,0.00687,0.67231,0.8493,0.91486,0.9059,0.80669,0.85169,0.91981,0.90839,0.78625,0.53981,0.7454,0.44655,0.00431,0,0.0008714,0.0008714,0.0008714
59,1727.81,1.08399,1.61829,0.62534,0.0067,0.61616,0.83888,0.93913,0.91576,0.81091,0.84403,0.9449,0.92092,0.80463,0.53838,0.79851,0.45286,0.00419,0,0.0008516,0.0008516,0.0008516
60,1755.86,1.05001,1.57765,0.61911,0.00661,0.61861,0.84252,0.92644,0.92282,0.81962,0.84979,0.93218,0.92741,0.84927,0.54778,0.75461,0.40626,0.00447,0,0.0008318,0.0008318,0.0008318
61,1783.69,1.08138,1.62757,0.63743,0.00688,0.6265,0.8451,0.92113,0.90769,0.82097,0.8504,0.92691,0.91267,0.82003,0.49896,0.76306,0.43549,0.00413,0,0.000812,0.000812,0.000812
62,1811.48,1.05418,1.59096,0.63624,0.00658,0.62183,0.83263,0.92352,0.91471,0.82782,0.83813,0.92929,0.91886,0.80728,0.50123,0.76079,0.44247,0.00409,0,0.0007922,0.0007922,0.0007922
63,1840.76,1.05837,1.57305,0.60357,0.00661,0.59933,0.82341,0.93523,0.91378,0.82648,0.82722,0.93956,0.91838,0.81602,0.50192,0.79313,0.43379,0.00412,0,0.0007724,0.0007724,0.0007724
64,1869.35,1.0333,1.55723,0.60147,0.00645,0.63364,0.84747,0.91775,0.91164,0.83198,0.85165,0.92208,0.91529,0.82321,0.48634,0.78813,0.43227,0.00406,0,0.0007526,0.0007526,0.0007526
65,1905.69,1.05664,1.60635,0.60472,0.00669,0.60633,0.84037,0.93362,0.92007,0.82911,0.84427,0.93795,0.92677,0.8393,0.5147,0.75714,0.41254,0.00415,0,0.0007328,0.0007328,0.0007328
66,1934.49,1.03163,1.56708,0.59327,0.00639,0.58364,0.84308,0.92641,0.91219,0.83131,0.84571,0.92929,0.91785,0.81034,0.4833,0.73689,0.4018,0.0039,0,0.000713,0.000713,0.000713
67,1963.14,1.01827,1.54467,0.58644,0.00628,0.58211,0.85492,0.89755,0.9149,0.82921,0.85873,0.9035,0.92036,0.816,0.49267,0.72774,0.41234,0.00401,0,0.0006932,0.0006932,0.0006932
68,1991.91,1.02096,1.55531,0.58753,0.00638,0.57412,0.86321,0.91919,0.91869,0.83377,0.86728,0.92352,0.9235,0.84282,0.49429,0.71964,0.40383,0.00411,0,0.0006734,0.0006734,0.0006734
69,2020.67,1.00976,1.52066,0.59776,0.00619,0.6045,0.84312,0.92929,0.91688,0.82945,0.84718,0.93362,0.92034,0.80944,0.50314,0.74907,0.42153,0.00402,0,0.0006536,0.0006536,0.0006536
70,2049.24,1.02288,1.51967,0.57826,0.00634,0.56085,0.85963,0.90765,0.91803,0.84787,0.86373,0.91198,0.92346,0.82887,0.46013,0.72219,0.40772,0.00371,0,0.0006338,0.0006338,0.0006338
71,2077.39,0.99522,1.4867,0.56706,0.00616,0.55351,0.85649,0.91291,0.91813,0.8341,0.86056,0.91723,0.9212,0.81822,0.48645,0.73679,0.42049,0.00392,0,0.000614,0.000614,0.000614
72,2105.25,1.02611,1.52768,0.56397,0.00631,0.56668,0.84932,0.92496,0.91469,0.83238,0.85197,0.92785,0.91659,0.80319,0.48688,0.73859,0.43561,0.0039,0,0.0005942,0.0005942,0.0005942
73,2133.58,0.99953,1.51557,0.56119,0.00616,0.56802,0.85052,0.91133,0.90625,0.82792,0.85452,0.91536,0.91031,0.80775,0.47342,0.74498,0.43968,0.00383,0,0.0005744,0.0005744,0.0005744
74,2161.41,0.99387,1.4805,0.55554,0.00608,0.54746,0.83991,0.93119,0.91719,0.84402,0.8438,0.93543,0.91806,0.81911,0.46612,0.76458,0.41453,0.00377,0,0.0005546,0.0005546,0.0005546
75,2189.3,0.99946,1.4856,0.58156,0.00613,0.56344,0.84246,0.92785,0.91367,0.83283,0.8477,0.93362,0.9194,0.81707,0.47671,0.73118,0.42787,0.00389,0,0.0005348,0.0005348,0.0005348
76,2217.08,0.95166,1.44378,0.55172,0.00593,0.55645,0.8393,0.92697,0.90152,0.81882,0.84191,0.92986,0.90602,0.79351,0.49148,0.74011,0.43235,0.00404,0,0.000515,0.000515,0.000515
77,2244.93,0.99526,1.49207,0.5512,0.00608,0.52922,0.85583,0.92511,0.92136,0.85228,0.85983,0.92944,0.9252,0.8301,0.44756,0.73429,0.40769,0.00363,0,0.0004952,0.0004952,0.0004952
78,2272.67,0.97169,1.45546,0.53714,0.00592,0.53613,0.838,0.94228,0.92044,0.84214,0.84024,0.94517,0.92375,0.83216,0.46618,0.74598,0.39966,0.00387,0,0.0004754,0.0004754,0.0004754
79,2300.81,0.95865,1.46293,0.55016,0.00594,0.54838,0.85416,0.91919,0.91329,0.8382,0.85818,0.92352,0.91615,0.81172,0.46239,0.73822,0.41312,0.00374,0,0.0004556,0.0004556,0.0004556
80,2329.6,0.95101,1.43017,0.5329,0.00587,0.54277,0.86605,0.91434,0.92523,0.85045,0.87152,0.92011,0.92993,0.82579,0.46169,0.75521,0.40378,0.0037,0,0.0004358,0.0004358,0.0004358
81,2358.22,0.97057,1.46532,0.54685,0.00592,0.54261,0.84771,0.92371,0.91524,0.84771,0.85301,0.92949,0.91919,0.83393,0.45276,0.745,0.41417,0.00365,0,0.000416,0.000416,0.000416
82,2386.74,0.95414,1.42843,0.52805,0.00588,0.5345,0.84612,0.93795,0.91795,0.85228,0.85005,0.9407,0.9221,0.83382,0.43971,0.72114,0.41772,0.0035,0,0.0003962,0.0003962,0.0003962
83,2415.35,0.94692,1.41267,0.50587,0.00567,0.50381,0.84359,0.93795,0.91413,0.84148,0.84878,0.94372,0.91752,0.81846,0.45408,0.74985,0.40259,0.00365,0,0.0003764,0.0003764,0.0003764
84,2444.38,0.9539,1.43781,0.53482,0.0058,0.51832,0.87607,0.92063,0.92193,0.84867,0.88019,0.92496,0.92596,0.82577,0.45923,0.72906,0.40763,0.00372,0,0.0003566,0.0003566,0.0003566
85,2473.14,0.94107,1.4156,0.52023,0.0057,0.50097,0.86784,0.92641,0.92346,0.84993,0.87054,0.92929,0.92579,0.82379,0.4563,0.67196,0.39173,0.00361,0,0.0003368,0.0003368,0.0003368
86,2501.73,0.94336,1.42703,0.52709,0.00573,0.50877,0.87343,0.91053,0.92175,0.85669,0.878,0.91486,0.92536,0.82962,0.43626,0.7399,0.39329,0.00347,0,0.000317,0.000317,0.000317
87,2530.43,0.94474,1.41771,0.52023,0.00584,0.53099,0.8522,0.92353,0.91927,0.8516,0.85608,0.92702,0.92322,0.8266,0.4468,0.74256,0.40001,0.0036,0,0.0002972,0.0002972,0.0002972
88,2558.93,0.94091,1.39596,0.51276,0.00566,0.50507,0.87734,0.90332,0.9203,0.85821,0.88154,0.90765,0.92333,0.83148,0.43792,0.73464,0.40456,0.00349,0,0.0002774,0.0002774,0.0002774
89,2587.35,0.92331,1.37487,0.50829,0.00545,0.51186,0.85943,0.91631,0.92225,0.85446,0.86976,0.91342,0.92682,0.83805,0.43812,0.74748,0.41041,0.00349,0,0.0002576,0.0002576,0.0002576
90,2615.3,0.92926,1.37839,0.5028,0.00564,0.50271,0.85139,0.94247,0.91643,0.84674,0.8527,0.94392,0.91886,0.82317,0.45841,0.74796,0.40946,0.00378,0,0.0002378,0.0002378,0.0002378
91,2664.98,0.87416,1.37168,0.42616,0.00704,0.47535,0.84438,0.92208,0.91888,0.84741,0.84835,0.92641,0.92281,0.81685,0.46127,0.732,0.40211,0.00362,0,0.000218,0.000218,0.000218
92,2693.22,0.8514,1.34372,0.41864,0.00693,0.46424,0.84859,0.92929,0.91926,0.85032,0.85123,0.93218,0.92369,0.82568,0.45201,0.73765,0.39333,0.00355,0,0.0001982,0.0001982,0.0001982
93,2721.63,0.84712,1.32203,0.41023,0.00693,0.45835,0.86367,0.93074,0.91965,0.8492,0.86779,0.93506,0.92167,0.81819,0.45104,0.74045,0.38659,0.00358,0,0.0001784,0.0001784,0.0001784
94,2750.15,0.83773,1.31221,0.41409,0.00674,0.43899,0.85645,0.9298,0.91735,0.8491,0.86044,0.93413,0.92129,0.81817,0.45465,0.73868,0.40094,0.00363,0,0.0001586,0.0001586,0.0001586
95,2778.59,0.83631,1.3088,0.40739,0.00686,0.43349,0.85648,0.91919,0.9179,0.84947,0.85917,0.92208,0.92122,0.82513,0.45523,0.75234,0.40723,0.00367,0,0.0001388,0.0001388,0.0001388
96,2806.67,0.82961,1.2938,0.40518,0.00667,0.42844,0.85406,0.93795,0.92054,0.85156,0.85669,0.94084,0.92441,0.82943,0.4483,0.75325,0.39266,0.00354,0,0.000119,0.000119,0.000119
97,2835.15,0.81355,1.27189,0.38836,0.00658,0.43671,0.86534,0.91802,0.91893,0.85453,0.8667,0.91947,0.92103,0.82785,0.4381,0.7648,0.39259,0.00345,0,9.92e-05,9.92e-05,9.92e-05
98,2863.77,0.80827,1.26554,0.38097,0.0065,0.42947,0.84198,0.93801,0.9176,0.85514,0.84457,0.94089,0.92064,0.82182,0.43813,0.76057,0.40095,0.00347,0,7.94e-05,7.94e-05,7.94e-05
99,2891.9,0.81456,1.30585,0.3985,0.00661,0.43368,0.8757,0.90909,0.91974,0.85795,0.87987,0.91342,0.92345,0.82758,0.43865,0.75436,0.39337,0.00348,0,5.96e-05,5.96e-05,5.96e-05
100,2919.76,0.79778,1.2657,0.38596,0.00636,0.41819,0.85865,0.92929,0.92111,0.8591,0.86265,0.93362,0.92525,0.82671,0.43703,0.7482,0.39408,0.00346,0,3.98e-05,3.98e-05,3.98e-05
